date,cash,transaction_cost,market_value,total_value
2026-03-03,975384.0,60.0,24269.0,999653.0
2026-03-04,948802.0,95.0,50257.0,999059.0
2026-03-05,922427.0,85.0,76644.0,999071.0
2026-03-06,897805.0315,111.9685,102578.0,1000383.0315
2026-03-09,877652.124,123.9075,121579.0,999231.124
2026-03-10,866793.124,35.0,133591.0,1000384.124
2026-03-11,862377.6205,25.5035,138501.0,1000878.6205
2026-03-12,858337.14,58.4805,144061.0,1002398.14
2026-03-13,845147.624,45.516,157072.0,1002219.624
2026-03-16,825301.542,66.082,178745.0,1004046.542
2026-03-17,824673.4555,76.0865,179171.0,1003844.4555
2026-03-18,826251.423,60.0325,177311.0,1003562.423
2026-03-19,822506.0875,176.3355,179768.0,1002274.0875
2026-03-20,802578.0815,162.006,198069.0,1000647.0815
2026-03-23,764775.26,166.8215,225582.0,990357.26
2026-03-24,744292.1645,86.0955,249418.0,993710.1645
2026-03-25,737782.584,30.5805,257373.0,995155.584
2026-03-26,728464.584,30.0,263385.0,991849.584
2026-03-27,714087.584,55.0,280100.0,994187.584
