date,count,mean,std,min,25%,50%,75%,max
2026-03-03,6.0,0.16666666666666666,0.0854572041869446,0.06572170258354279,0.09306110676171248,0.17268943920227453,0.24119246775722117,0.25835427912151304
2026-03-04,8.0,0.125,0.07088502904324166,0.01864416897148656,0.08713214079630698,0.12131643353164734,0.1597488907017928,0.24808484390234195
2026-03-05,10.0,0.09999999999999999,0.0640434845300328,0.020249465059234903,0.040952325035227805,0.10920620009394082,0.14096667710453525,0.2156463650122645
2026-03-06,10.0,0.1,0.06561192466143825,0.01852249020257755,0.0541295404472694,0.1008305874553998,0.1271520209011679,0.24122131451188364
2026-03-09,10.0,0.1,0.056543264567688115,0.023367522351721924,0.05191686064205167,0.10427376438365178,0.1276515681162043,0.2096825932109986
2026-03-10,10.0,0.1,0.05314788800004962,0.021423598895135152,0.060879849690473165,0.10005165018601553,0.13543577037375273,0.19452657738919538
2026-03-11,10.0,0.1,0.05282925151407619,0.020577468754738232,0.058764918664847184,0.10671403094562494,0.13112360199565345,0.1893199327080671
2026-03-12,10.0,0.09999999999999999,0.05415762075304164,0.019845759782314436,0.056153296173148876,0.10479588507646066,0.1339866445464074,0.18381796600051367
2026-03-13,10.0,0.1,0.05356297968119381,0.02409086278903942,0.059296055312213505,0.0996358357950494,0.14549537791586023,0.1728124681674646
2026-03-16,10.0,0.1,0.05036638300076865,0.0319897060057624,0.06845226439900416,0.0995860024056617,0.1365408822624409,0.17432655458893956
2026-03-17,10.0,0.1,0.04489515078584543,0.03703724375038371,0.0722242996913563,0.09945247835866294,0.1280103923067907,0.17263954546215626
2026-03-18,10.0,0.1,0.04523453161470307,0.031977711478701265,0.07323572705585102,0.1066685090039535,0.12124177293004947,0.18261698371787424
2026-03-19,11.0,0.09090909090909093,0.048964281293541564,0.025950113479595922,0.04844577455386943,0.10566952961594944,0.12013261537092251,0.18573939744559656
2026-03-20,13.0,0.07692307692307693,0.05174891082898973,0.004543871075231359,0.04254073075544381,0.0777506828428477,0.10899232085788287,0.1976583917725641
2026-03-23,13.0,0.07692307692307693,0.05141583957546051,0.019150464132776553,0.03957762587440487,0.0637683857754608,0.10169694390509881,0.2032475995425167
2026-03-24,14.0,0.07142857142857142,0.050050922502912265,0.01092944374503845,0.03943981589139517,0.05841599243037792,0.09959986849385369,0.18792549054198174
2026-03-25,14.0,0.07142857142857142,0.050580427239287115,0.01070042312130643,0.037047398134225425,0.0561888776211957,0.09708477579233253,0.18199655752545915
2026-03-26,14.0,0.07142857142857142,0.04904233068205236,0.010463769766691345,0.035582891964234864,0.0597338496877195,0.10008922300055052,0.17395827400952976
2026-03-27,14.0,0.07142857142857142,0.048808545134930166,0.01038200642627633,0.036663691538736165,0.05817743662977508,0.09668689753659408,0.1673402356301321
